periode_data;tanggal;pm_10;pm_duakomalima;so2;co;o3;no2;max;critical;categori;lokasi_spku
202205;02/05/22;58;90;41;16;82;17;90;PM2,5;SEDANG;DKI4
202206;01/06/22;53;77;43;18;55;27;77;PM2,5;SEDANG;DKI5
202206;30/06/22;68;117;48;13;84;26;117;PM2,5;TIDAK SEHAT;DKI4
202206;29/06/22;59;79;46;14;72;32;79;PM2,5;SEDANG;DKI4
202206;28/06/22;57;82;46;16;82;29;82;PM2,5;SEDANG;DKI2
202206;27/06/22;74;102;45;22;76;33;102;PM2,5;TIDAK SEHAT;DKI4
202204;17/04/22;76;148;52;21;93;24;148;PM2,5;TIDAK SEHAT;DKI4
202204;16/04/22;63;119;46;16;91;21;119;PM2,5;TIDAK SEHAT;DKI4
202204;15/04/22;61;102;41;15;81;28;102;PM2,5;TIDAK SEHAT;DKI4
202204;14/04/22;66;104;44;14;111;25;111;O3;TIDAK SEHAT;DKI2
202204;13/04/22;78;116;42;21;118;40;118;O3;TIDAK SEHAT;DKI2
202204;12/04/22;71;107;52;22;78;43;107;PM2,5;TIDAK SEHAT;DKI4
202204;11/04/22;63;98;44;17;95;31;98;PM2,5;SEDANG;DKI4
202204;10/04/22;82;164;46;27;80;38;164;PM2,5;TIDAK SEHAT;DKI4
202204;09/04/22;50;76;42;21;59;28;76;PM2,5;SEDANG;DKI4
202204;08/04/22;52;81;40;17;50;29;81;PM2,5;SEDANG;DKI4
202204;07/04/22;58;90;42;22;62;35;90;PM2,5;SEDANG;DKI4
202204;06/04/22;54;87;40;20;57;32;87;PM2,5;SEDANG;DKI4
202204;05/04/22;73;92;53;19;73;43;92;PM2,5;SEDANG;DKI4
202204;04/04/22;49;71;43;23;69;27;71;PM2,5;SEDANG;DKI4
202204;03/04/22;51;74;39;14;40;17;74;PM2,5;SEDANG;DKI4
202204;02/04/22;61;99;42;18;70;28;99;PM2,5;SEDANG;DKI4
202205;01/05/22;66;126;48;24;61;26;126;PM2,5;TIDAK SEHAT;DKI4
202205;31/05/22;63;100;44;44;59;44;100;;SEDANG;0
202205;30/05/22;51;89;45;17;58;31;89;PM2,5;SEDANG;DKI4
202205;29/05/22;64;107;43;23;65;40;107;PM2,5;TIDAK SEHAT;DKI4
202205;28/05/22;57;105;43;17;82;33;105;PM2,5;TIDAK SEHAT;DKI3
202205;27/05/22;79;146;52;25;76;35;146;PM2,5;TIDAK SEHAT;DKI4
202205;26/05/22;57;93;45;15;52;26;93;PM2,5;SEDANG;DKI4
202205;25/05/22;74;121;48;16;58;27;121;PM2,5;TIDAK SEHAT;DKI4
202205;24/05/22;58;98;46;11;54;21;98;PM2,5;SEDANG;DKI4
202205;23/05/22;68;123;47;17;53;24;123;PM2,5;TIDAK SEHAT;DKI4
202205;22/05/22;58;110;44;17;55;25;110;PM2,5;TIDAK SEHAT;DKI4
202205;21/05/22;58;82;44;20;58;32;82;PM2,5;SEDANG;DKI4
202205;20/05/22;70;128;43;24;71;43;128;PM2,5;TIDAK SEHAT;DKI4
202205;19/05/22;75;136;43;28;64;46;136;PM2,5;TIDAK SEHAT;DKI4
202205;18/05/22;62;99;42;15;89;24;99;PM2,5;SEDANG;DKI4
202206;26/06/22;68;106;45;22;69;36;106;PM2,5;TIDAK SEHAT;DKI4
202206;25/06/22;82;131;46;23;60;31;131;PM2,5;TIDAK SEHAT;DKI4
202206;24/06/22;85;123;46;22;77;38;123;PM2,5;TIDAK SEHAT;DKI4
202206;23/06/22;82;119;46;19;68;32;119;PM2,5;TIDAK SEHAT;DKI4
202206;22/06/22;71;123;47;17;72;27;123;PM2,5;TIDAK SEHAT;DKI4
202206;21/06/22;79;114;47;18;70;32;114;PM2,5;TIDAK SEHAT;DKI4
202206;20/06/22;78;131;45;17;99;27;131;PM2,5;TIDAK SEHAT;DKI4
202206;19/06/22;73;118;47;23;82;37;118;PM2,5;TIDAK SEHAT;DKI4
202206;18/06/22;75;117;45;30;58;42;117;PM2,5;TIDAK SEHAT;DKI4
202206;17/06/22;85;130;45;25;50;37;130;PM2,5;TIDAK SEHAT;DKI4
202206;16/06/22;79;146;46;32;50;45;146;PM2,5;TIDAK SEHAT;DKI4
202206;15/06/22;80;141;45;25;44;43;141;PM2,5;TIDAK SEHAT;DKI4
202206;14/06/22;75;112;49;27;52;50;112;PM2,5;TIDAK SEHAT;DKI4
202206;13/06/22;61;97;46;22;71;38;97;PM2,5;SEDANG;DKI4
202206;12/06/22;61;112;45;22;71;33;112;PM2,5;TIDAK SEHAT;DKI4
202206;11/06/22;58;92;45;15;67;28;92;PM2,5;SEDANG;DKI4
202206;10/06/22;56;82;44;26;49;36;82;PM2,5;SEDANG;DKI4
202206;09/06/22;65;97;51;27;34;46;97;PM2,5;SEDANG;DKI4
202206;08/06/22;65;110;44;18;54;25;110;PM2,5;TIDAK SEHAT;DKI4
202206;07/06/22;61;76;44;18;50;32;76;PM2,5;SEDANG;DKI4
202206;06/06/22;64;111;44;21;62;35;111;PM2,5;TIDAK SEHAT;DKI4
202206;05/06/22;62;116;45;15;87;27;116;PM2,5;TIDAK SEHAT;DKI4
202206;04/06/22;78;136;44;26;92;51;136;PM2,5;TIDAK SEHAT;DKI4
202206;03/06/22;51;68;44;20;72;36;72;O3;SEDANG;DKI2
202206;02/06/22;56;100;44;15;76;33;100;PM2,5;SEDANG;DKI4
202207;01/07/22;73;111;49;15;87;31;111;PM2,5;TIDAK SEHAT;DKI4
202207;31/07/22;80;143;49;17;115;27;143;PM2,5;TIDAK SEHAT;DKI4
202207;30/07/22;66;118;49;15;95;22;118;PM2,5;TIDAK SEHAT;DKI4
202207;29/07/22;74;123;50;12;86;22;123;PM2,5;TIDAK SEHAT;DKI4
202207;28/07/22;82;132;50;16;90;30;132;PM2,5;TIDAK SEHAT;DKI4
202207;27/07/22;70;116;50;14;118;24;118;O3;TIDAK SEHAT;DKI2
202207;26/07/22;67;110;49;16;85;20;110;PM2,5;TIDAK SEHAT;DKI4
202207;25/07/22;56;87;46;16;91;24;91;O3;SEDANG;DKI2
202207;24/07/22;54;82;47;14;94;21;94;O3;SEDANG;DKI2
202207;23/07/22;61;99;50;14;67;19;99;PM2,5;SEDANG;DKI4
202207;22/07/22;74;121;50;17;96;25;121;PM2,5;TIDAK SEHAT;DKI4
202207;21/07/22;75;110;50;15;114;28;114;O3;TIDAK SEHAT;DKI2
202207;20/07/22;76;124;49;18;94;26;124;PM2,5;TIDAK SEHAT;DKI4
202207;19/07/22;75;114;50;15;98;25;114;PM2,5;TIDAK SEHAT;DKI4
202207;18/07/22;75;143;48;30;84;36;143;PM2,5;TIDAK SEHAT;DKI4
202207;17/07/22;59;89;48;28;51;36;89;PM2,5;SEDANG;DKI4
202207;16/07/22;36;59;46;15;48;31;59;PM2,5;SEDANG;DKI4
202207;15/07/22;58;86;49;12;65;18;86;PM2,5;SEDANG;DKI4
202207;14/07/22;85;125;47;25;57;33;125;PM2,5;TIDAK SEHAT;DKI4
202207;13/07/22;69;114;48;16;65;29;114;PM2,5;TIDAK SEHAT;DKI4
202207;12/07/22;77;123;49;17;84;28;123;PM2,5;TIDAK SEHAT;DKI4
202207;11/07/22;66;112;47;15;84;29;112;PM2,5;TIDAK SEHAT;DKI4
202207;10/07/22;63;93;47;13;84;19;93;PM2,5;SEDANG;DKI4
202207;09/07/22;61;93;48;13;107;25;107;O3;TIDAK SEHAT;DKI2
202207;08/07/22;55;80;48;17;95;25;95;O3;SEDANG;DKI2
202207;07/07/22;94;135;46;29;74;44;135;PM2,5;TIDAK SEHAT;DKI3
